Classification Report

Class            Precision    Recall        F1   Support
Bete                 0.889     0.828     0.857        29
Cray                 0.900     0.750     0.818        12
Discus               0.964     0.900     0.931        30
Gold                 1.000     0.968     0.984        31
Guppy                0.903     0.966     0.933        29
Oscar                0.769     0.952     0.851        21

Accuracy: 0.908

Macro avg          0.904     0.894     0.896
Weighted avg       0.914     0.908     0.908
